"Well_ID","time_bin","Depth_ft","Latitude","Longitude","DepthClass","Database","Result"
"CDPH1000154","1990-2014",NA,36.8,-119.76,"Deep","CDPH",94
"CDPH1000155","1960-1989",NA,36.78,-119.75,"Deep","CDPH",78.26
"CDPH1000155","1990-2014",NA,36.78,-119.75,"Deep","CDPH",96.5
"CDPH1000156","1960-1989",NA,36.76,-119.83,"Deep","CDPH",240.1
"CDPH1000156","1990-2014",NA,36.76,-119.83,"Deep","CDPH",192
"CDPH1000157","1960-1989",NA,36.8,-119.8,"Deep","CDPH",158.4
"CDPH1000157","1990-2014",NA,36.8,-119.8,"Deep","CDPH",172.8
"CDPH1000158","1960-1989",NA,36.76,-119.71,"Deep","CDPH",272.3
"CDPH1000158","1990-2014",NA,36.76,-119.71,"Deep","CDPH",307.2
"CDPH1000159","1960-1989",NA,36.79,-119.83,"Deep","CDPH",142.96
"CDPH1000159","1990-2014",NA,36.79,-119.83,"Deep","CDPH",160
"CDPH1000160","1960-1989",NA,36.8,-119.76,"Deep","CDPH",105.03
"CDPH1000160","1990-2014",NA,36.8,-119.76,"Deep","CDPH",185.6
"CDPH1000161","1960-1989",NA,36.8,-119.75,"Deep","CDPH",116.44
"CDPH1000161","1990-2014",NA,36.8,-119.75,"Deep","CDPH",108.8
"CDPH1000162","1960-1989",NA,36.78,-119.83,"Deep","CDPH",169.28
"CDPH1000162","1990-2014",NA,36.78,-119.83,"Deep","CDPH",192
"CDPH1000163","1960-1989",NA,36.8,-119.85,"Deep","CDPH",168.62
"CDPH1000163","1990-2014",NA,36.8,-119.85,"Deep","CDPH",172.8
"CDPH1000164","1960-1989",NA,36.83,-119.85,"Deep","CDPH",168.24
"CDPH1000164","1990-2014",NA,36.83,-119.85,"Deep","CDPH",284.8
"CDPH1000165","1960-1989",NA,36.8,-119.741,"Deep","CDPH",46.76
"CDPH1000165","1990-2014",NA,36.8,-119.741,"Deep","CDPH",76.8
"CDPH1000166","1960-1989",NA,36.8,-119.75,"Deep","CDPH",134.08
"CDPH1000166","1990-2014",NA,36.8,-119.75,"Deep","CDPH",128
"CDPH1000167","1960-1989",NA,36.81,-119.88,"Deep","CDPH",180.8
"CDPH1000167","1990-2014",NA,36.81,-119.88,"Deep","CDPH",210.6
"CDPH1000168","1960-1989",NA,36.83,-119.83,"Deep","CDPH",166.44
"CDPH1000168","1990-2014",NA,36.83,-119.83,"Deep","CDPH",172.8
"CDPH1000169","1990-2014",NA,35.71,-119.71,"Deep","CDPH",185.6
"CDPH1000170","1990-2014",NA,36.86,-119.78,"Deep","CDPH",230
"CDPH1000171","1990-2014",NA,36.77,-119.9,"Deep","CDPH",153.6
"CDPH1000172","1990-2014",NA,36.82,-119.85,"Deep","CDPH",210
"CDPH1000173","1990-2014",NA,36.83,-119.84,"Deep","CDPH",200
"CDPH1000174","1990-2014",NA,36.72,-119.71,"Deep","CDPH",249.6
"CDPH1000175","1990-2014",NA,36.88,-119.76,"Deep","CDPH",377.6
"CDPH1000176","1990-2014",NA,36.73,-119.73,"Deep","CDPH",480
"CDPH1000177","1990-2014",NA,36.71,-119.71,"Deep","CDPH",345.6
"CDPH1000178","1990-2014",NA,36.71,-119.75,"Deep","CDPH",329.6
"CDPH1000179","1990-2014",NA,36.73,-119.69,"Deep","CDPH",320
"CDPH1000180","1990-2014",NA,36.83,-119.82,"Deep","CDPH",150
"CDPH1000181","1990-2014",NA,36.76,-119.86,"Deep","CDPH",217.6
"CDPH1000182","1990-2014",NA,36.72,-119.69,"Deep","CDPH",357.8
"CDPH1000183","1990-2014",NA,36.84,-119.73,"Deep","CDPH",166.4
"CDPH1000184","1990-2014",NA,36.75,-119.83,"Deep","CDPH",166.4
"CDPH1000185","1990-2014",NA,36.8,-119.8,"Deep","CDPH",220
"CDPH1000186","1990-2014",NA,36.77,-119.79,"Deep","CDPH",204.8
"CDPH1000187","1990-2014",NA,36.8,-119.81,"Deep","CDPH",225.2
"CDPH1000188","1990-2014",NA,36.73,-119.66,"Deep","CDPH",256
"CDPH1000189","1990-2014",NA,36.83,-119.73,"Deep","CDPH",217.6
"CDPH1000190","1990-2014",NA,36.76,-119.74,"Deep","CDPH",179.2
"CDPH1000191","1990-2014",NA,36.79,-119.88,"Deep","CDPH",166.4
"CDPH1000192","1990-2014",NA,36.7,-119.7,"Deep","CDPH",192
"CDPH1000193","1990-2014",NA,36.71,-119.7,"Deep","CDPH",538.8
"CDPH1000194","1990-2014",NA,36.713,-119.741,"Deep","CDPH",281.6
"CDPH1000195","1990-2014",NA,36.78,-119.86,"Deep","CDPH",147.2
"CDPH1000196","1990-2014",NA,36.75,-119.79,"Deep","CDPH",240
"CDPH1000197","1990-2014",NA,36.78,-119.77,"Deep","CDPH",140
"CDPH1000198","1990-2014",NA,36.78,-119.77,"Deep","CDPH",172.8
"CDPH1000199","1990-2014",NA,36.78,-119.77,"Deep","CDPH",121.6
"CDPH1000200","1990-2014",NA,36.78,-119.77,"Deep","CDPH",134.4
"CDPH1000201","1990-2014",NA,36.78,-119.77,"Deep","CDPH",294.4
"CDPH1000202","1990-2014",NA,36.78,-119.77,"Deep","CDPH",134.4
"CDPH1000205","1990-2014",NA,36.713,-120.058,"Deep","CDPH",236.8
"CDPH1000206","1990-2014",NA,36.71,-120.06,"Deep","CDPH",172.8
"CDPH1000207","1990-2014",NA,36.69,-120.06,"Deep","CDPH",121.6
"CDPH1000208","1990-2014",NA,36.713,-120.058,"Deep","CDPH",128
"CDPH1000209","1990-2014",NA,36.713,-120.058,"Deep","CDPH",140.8
"CDPH1000210","1990-2014",NA,36.71,-120.06,"Deep","CDPH",134.4
"CDPH1000211","1960-1989",NA,36.56,-119.62,"Deep","CDPH",102.3
"CDPH1000211","1990-2014",NA,36.56,-119.62,"Deep","CDPH",118.4
"CDPH1000212","1990-2014",NA,36.597,-119.463,"Deep","CDPH",253
"CDPH1000213","1960-1989",NA,36.713,-119.582,"Deep","CDPH",143.6
"CDPH1000213","1990-2014",NA,36.713,-119.582,"Deep","CDPH",230.2
"CDPH1000214","1960-1989",NA,36.69,-119.56,"Deep","CDPH",279.14
"CDPH1000214","1990-2014",NA,36.69,-119.56,"Deep","CDPH",330
"CDPH1000215","1990-2014",NA,36.713,-119.582,"Deep","CDPH",61.44
"CDPH1000216","1990-2014",NA,36.68,-119.55,"Deep","CDPH",115.2
"CDPH1000217","1990-2014",NA,36.7,-119.55,"Deep","CDPH",180
"CDPH1000218","1990-2014",NA,36.67,-119.73,"Deep","CDPH",204.8
"CDPH1000219","1990-2014",NA,36.68,-119.73,"Deep","CDPH",179.2
"CDPH1000220","1990-2014",NA,36.68,-119.73,"Deep","CDPH",185.6
"CDPH1000221","1990-2014",NA,36.79,-119.59,"Deep","CDPH",246
"CDPH1000222","1990-2014",NA,36.79,-119.59,"Deep","CDPH",235
"CDPH1000232","1960-1989",NA,35.26,-119.1,"Deep","CDPH",254.6
"CDPH1000232","1990-2014",NA,35.26,-119.1,"Deep","CDPH",324.32
"CDPH1000233","1990-2014",NA,35.34,-118.93,"Deep","CDPH",931.2
"CDPH1000234","1990-2014",NA,35.351,-118.948,"Deep","CDPH",588.68
"CDPH1000236","1990-2014",NA,35.44,-119.1,"Deep","CDPH",980
"CDPH1000239","1990-2014",NA,35.1,-119.2,"Deep","CDPH",310
"CDPH1000243","1990-2014",NA,35.35,-119.32,"Deep","CDPH",160
"CDPH1000245","1990-2014",NA,35.264,-118.631,"Deep","CDPH",204.8
"CDPH1000247","1990-2014",NA,35.19,-118.81,"Deep","CDPH",293.76
"CDPH1000248","1990-2014",NA,35.19,-118.81,"Deep","CDPH",304
"CDPH1000253","1990-2014",NA,35.409,-119.265,"Deep","CDPH",155
"CDPH1000261","1990-2014",NA,35.53,-119.18,"Deep","CDPH",265.16
"CDPH1000262","1990-2014",NA,35.24,-118.86,"Deep","CDPH",497.8
"CDPH1000263","1990-2014",NA,35.24,-118.86,"Deep","CDPH",371.84
"CDPH1000264","1990-2014",NA,35.235,-118.869,"Deep","CDPH",441.6
"CDPH1000267","1990-2014",NA,35.496,-119.543,"Deep","CDPH",3416.4
"CDPH1000270","1990-2014",NA,35.71,-119.31,"Deep","CDPH",591.84
"CDPH1000275","1960-1989",NA,35.206,-118.83,"Deep","CDPH",230.9
"CDPH1000275","1990-2014",NA,35.206,-118.83,"Deep","CDPH",235.2
"CDPH1000276","1960-1989",NA,35.19,-118.82,"Deep","CDPH",214.5
"CDPH1000276","1990-2014",NA,35.19,-118.82,"Deep","CDPH",240
"CDPH1000277","1960-1989",NA,35.19,-118.83,"Deep","CDPH",370.6
"CDPH1000277","1990-2014",NA,35.19,-118.83,"Deep","CDPH",360
